iter	Passed	Remaining
0	0	67
1	1	61
2	1	58
3	2	53
4	2	53
5	3	52
6	3	51
7	4	50
8	4	49
9	5	48
10	6	48
11	6	48
12	7	47
13	7	46
14	8	45
15	8	45
16	9	45
17	9	44
18	10	44
19	11	44
20	11	43
21	12	42
22	12	42
23	13	42
24	13	41
25	14	40
26	14	40
27	15	39
28	16	39
29	16	38
30	17	38
31	17	37
32	18	36
33	18	36
34	19	35
35	19	35
36	20	34
37	20	33
38	21	33
39	21	32
40	22	32
41	22	31
42	23	30
43	23	30
44	24	29
45	24	29
46	25	28
47	26	28
48	26	27
49	27	27
50	27	26
51	28	25
52	28	25
53	29	24
54	29	24
55	30	23
56	30	23
57	31	22
58	31	21
59	32	21
60	32	20
61	33	20
62	33	19
63	34	19
64	34	18
65	35	18
66	35	17
67	36	17
68	37	16
69	37	16
70	38	15
71	38	15
72	39	14
73	40	14
74	40	13
75	41	13
76	42	12
77	42	12
78	43	11
79	43	10
80	44	10
81	44	9
82	45	9
83	46	8
84	46	8
85	47	7
86	47	7
87	48	6
88	48	6
89	49	5
90	49	4
91	50	4
92	50	3
93	51	3
94	52	2
95	52	2
96	53	1
97	53	1
98	54	0
99	54	0
